model,n_events,slope,p_value,r2,ci_lower,ci_upper,significant,mean_sensitivity,std_sensitivity
ACCESS-ESM1-5,12,0.8655343041772627,0.24952171248467916,0.2625720532920479,-0.4176140933823289,2.1486827017368544,False,2.045365680426562,1.2771855928759925
CanESM5,12,1.5384045052955895,0.010329162916108086,0.13068271188542802,0.6532911802093461,2.423517830381833,True,2.067211743931096,0.8114217445743219
CESM2,12,0.31023416910498225,0.35559956093543954,0.04865873416131239,-0.27029674125374936,0.8907650794637139,False,0.5125436268301259,0.5087379107677314
CESM2-FV2,12,0.5522665688916987,0.0013369720449768218,0.17993564588326505,0.32472805294029894,0.7798050848430984,True,0.7165024931940671,0.2147671603515007
CESM2-WACCM,12,0.8702651554959657,0.007654086296126949,0.07385898894172394,0.3961945684677689,1.3443357425241627,True,0.6639720404452142,0.421057467658014
CESM2-WACCM-FV2,12,-0.13475135963208038,0.8632795984984185,0.043629165231404254,-1.517016706992132,1.2475139877279713,False,0.32017941058746474,1.2081342039470992
CMCC-CM2-SR5,12,-0.5630914257626788,0.593137525175734,0.15459488677345612,-2.412316113082265,1.2861332615569072,False,0.6554306788676365,1.719072403817408
CMCC-ESM2,12,1.3255043952253363,0.12003790154139224,0.0007978975751131712,-0.08798273489869701,2.7389915253493697,False,1.2639559108158451,1.2086543240085925
EC-Earth3-CC,12,0.7800847364798841,0.12724355572612417,0.20349393000387994,-0.06999185976655853,1.6301613327263267,False,1.4421759827046914,0.8141425175901945
EC-Earth3-Veg-LR,12,0.06213479349583918,0.961596766893478,0.05019055657950133,-2.218954773386121,2.3432243603777994,False,0.8701391530976909,2.000603469633214
GFDL-ESM4,12,1.5414017337280757,0.13913801839190293,0.027390370756738447,-0.19709253881238187,3.279896006268533,False,1.9909553947971446,1.506748968647896
INM-CM4-8,12,0.8473194989483643,0.696352064506564,0.07456521902945268,-2.9757207718659595,4.670359769762689,False,2.519498304121288,3.3968227463088745
INM-CM5-0,12,1.502535451950882,0.22711543942075535,0.006433004142109677,-0.6136046726924036,3.6186755765941676,False,1.7649158344044114,1.8146077641675415
IPSL-CM5A2-INCA,12,-4.035200994997561,0.21292054127375423,0.11270375575425207,-9.532432182459505,1.4620301924643826,False,-1.0162401800015048,4.988231507502042
IPSL-CM6A-LR,12,5.907344498795563,0.1909486473523363,0.16120454631025505,-1.725053507229621,13.539742504820747,False,0.7514951396605652,7.123114026349027
IPSL-CM6A-LR-INCA,12,-3.0250141136929836,0.6936239998264848,0.08166499138627625,-16.54469708370628,10.494668856320313,False,3.18743006223411,12.058765741735778
MPI-ESM-1-2-HAM,12,1.9691744032785023,0.030337426888330514,0.058687786329035374,0.5534227191771481,3.3849260873798563,True,1.4244551750366607,1.2472604782394103
MPI-ESM1-2-LR,12,0.24128360421865772,0.7455544777114136,0.3765746116080009,-1.0695301493933382,1.5520973578306536,False,1.811114482385003,1.41901069388399
NorESM2-LM,12,0.6014527216067289,0.21455966840990476,0.13968469348342194,-0.22109884399624824,1.424004287209706,False,0.09072748350921754,0.7580035323947424
NorESM2-MM,12,1.4614829004261434,0.031811756151371634,0.32776081155429004,0.39906859997425514,2.5238972008780314,True,0.3183700434630797,1.10756421601067
SAM0-UNICON,12,-0.5440155227984796,0.6707048861736609,0.002288994639361386,-2.7952385540850297,1.7072075084880707,False,-0.7101719446575431,1.926429246257391
TaiESM1,12,1.2525135994951775,0.2653636516512381,0.08320265898248003,-0.6715624355564425,3.176589634546797,False,0.3593464071678658,1.7176017698811008
